,Industry_Names, Locations ,November20,November21,FY21_Percent_Change,FY21_July-Nov_20,Fy22_July-November21,FY22_Percent_Change
124, Nursing and Residential Care Facilities, 61 ,36147.62,32269.54,-10.7,180107.09,173224.28,-3.8
125, Social Assistance, 10 ,12238.79,14809.62,21.0,66054.78,80044.61,21.2
126,Totals, 233 ,1058612.37,717567.62,-32.2,4180737.31,3775799.93,-9.7
129, Performing Arts and Spectator Sports, 16 ,6429.77,9530.31,48.2,46662.2,49391.44,5.8
130," Amusement, Gambling, and Recreation", 59 ,21684.24,58445.8,169.5,163024.15,222542.23,36.5
131,Totals, 75 ,28114.01,67976.11,141.8,209686.35,271933.67,29.7
134, Accommodation, 39 ,20254.84,29524.21,45.8,124356.45,158625.68,27.6
135, Food Services and Drinking Places, 166 ,135926.23,189878.82,39.7,448181.58,676620.04,51.0
136,Totals, 205 ,156181.07,219403.03,40.5,572538.03,835245.72,45.9
139, Repair and Maintenance, 133 ,326815.36,386977.47,18.4,1956869.45,1957546.58,0.0
140, Personal and Laundry Services, 66 ,232042.54,267973.24,15.5,1073555.66,1286236.52,19.8
141, Membership Associations and Organizations, 42 ,23639.07,19099.82,-19.2,354043.34,280084.9,-20.9
142,Totals, 241 ,582496.97,674050.53,15.7,3384468.45,3523868.0,4.1
145," Executive, Legislative, & General Government", 33 ,321821.46,346706.81,7.7,2251060.77,1737353.85,-22.8
146,Totals, 33 ,321821.46,346706.81,7.7,2251060.77,1737353.85,-22.8
149, Unclassified Establishments, 302 ,505983.12,525702.67,3.9,2788665.75,3449411.92,23.7
150,Totals, 302 ,505983.12,525702.67,3.9,2788665.75,3449411.92,23.7
152,Totals," 11,081 ",57928422.61,78535889.29,35.6,282977283.63,356466662.28,26.0
